i3-dab5| accepted; 
in-nin-me-en kur al bi2-in-du11 a-na ab-be2| You are the lady, the one who has desired the mountain, (but) what will (its) midst accomplish(?) 
sza3 gu2 min-a-kam| of(?) the neck, the second time. 
me-ni-da mu-na-da-dab-e| he (Gudea) brings along with himself (and introduces).
i7 ki-ag2-ga2-ni| his beloved canal, 
geszkim-mu ha-mu-u3-zu| I will teach you my sign.” 
uri5{ki}-ma| In Ur
szu-na mu-ni-gi4-a| had returned, 
me-en-de3-en eridu{ki}-ta gal2-la-da a-na-asz mu-e-de3-la2-e-ne| Why do they reckon us among those who have been displaced from Eridug? 
ta-am3| What (is going on/is this/he (doing))(?)? 
su-gu7 nig2 u4 da-ri2-ka| Support(?), a canopy/roof(?), shade(?), need(?) (are) everlasting thing(s) 
2(gesz2) 2(u) la-hu-tum| 140 (bricks) by Lahutum; 
sila4 sig| lamb born in the late season 
u4-szu2-usz-e {gesz}tukul-e igi-bi-sze3 sag i3-sag3-sag3-ge| Daily weapons were smashing heads before it 
lugal e2-babbar-ra| the king of the Ebabbar temple, 
mu-ni-tum2| and made it fitting for her. 
su {d}utu lugal-ga2| What for the well-being of Utu my master 
mu 4(disz)-kam| (a period of) 4 years; 
gu2-li-lu-um| dragonfly 
iti min3-esz3| from the month: “mineš,” 
e2-e ma2 gal-gal kar-ra ba-an-us2| At the temple he parked great boats in the harbor 
szuku-u4 szub-ba esza zi3 dub-dub-bu na-ag2-sze3 bi2-ib-tar-re| He decrees as a fate the offering of daily rations and the grinding up of fine meal and flour. 
mu us2-sa en eridu{ki}-ga ba-hun-ga2| year following: “The en-priest in Eridu was installed”; 
GIN2.SZE3 be2-se3| he defeated, 
szu-{d}en-lil2| for Šu-Enlil; 
en-e ur-sag-ra ba-szi-hul2| The lord was delighted with the hero, 
nu-kusz2-u3-mu| and untiring,
dumu i-ku-un-pi4-{d}suen| son of Ikūn-pî-Sîn, 
agrig zi an-na| Faithful steward of An 
1(gesz2) 2(u) 8(asz) gu2 siki igi sag-ga2 gibil| 88 talents of new choice wool,
ah-du11-ga gir2-ta im-ta-gar| He removed the spittle from the dagger. 
{d}nanna| had made Nanna,
1(bur3) 2(esze3) 1(iku) GAN2 1(u) 1(disz)-ta| 1 bur3 2 eše3 1 iku surface area, 11 each; 
1(gesz2) 3(u) 5(asz) gu2 3(u) 5(disz) 1/3(disz) ma-na siki sumun| 95 talents 35 1/3 (?) mana old wool, 
i-ni-in-gar-ra-a| I established, 
1(u) 3(disz) 1/3(disz) sar e2 kislah da e2 ha-la-ba-na| (and) 800 shekels, adjacent to the house, portion of his inheritance,
szesz-kal-la dumu tir-gu| xxx 
iri du3-du3-a ug3 szar2-szar2-ra| That cities should be rebuilt, that people should be numerous, 
sipa-me nam-nun-ne2 sag ma-ab-szum2-szum2| I am the shepherd, princeliness was given to me. 
szim hur-sag-ga2 {gesz}ar-ga-nu-um-ma| The aromatic of the mountain range is (of the) arganum tree 
sza3 gu2-ab-ba{ki}| in Guabba 
{disz}ur-sa6-ga ARAD2-zu na-ab-be2-a| this is what Ur-saga, your servant, says: 
nir-gal2 me-te-na dingir sag zi| princely in her own right, god with the raised head, 
kaskal kalam-ma-ke4 giri3 ga2-ga2 an-ne2 nam-kur2-re| To travel on the roads of the Land: may An not change it. 
nam-nun-na diri-ga| surpassing in princeliness, 
NIN-TAG| (a kind of insect) 
tug2 i3 sza3-ze2| xxx 
amar an-na kilib3-ba galam-ma-ka| For a Calf of Heaven, in thoroughly skillfully made, 
du10-tuku liru3-sze3 gam-e-gin7| Like an athlete bent to start a contest, 
edin umma{ki}-sze3| Into the plain of Umma 
szunigin 2(u) 2(disz) kusz szu-dulx(URxA) gu4| together: 22 hides of oxen yokes, 
dam-gar3-ne-bi gi-ne2-dam| the trade agents will confirm; 
sze-bi 1(gesz2) 3(u) 6(asz) 4(barig) gur| its barley: 96 gur 4 barig; 
inim dub ha-la-ba libir-ra-na ab-sar-ra| are recorded in a old contract regarding the division of the inheritance
inim du11-ga {d}eresz-ki-gal-la-ke4| At the command of Ereškigala, 
uzu gu2-bala gesz-du3-a| junction of the cervical and thoracic vertebrae 
sze-bi 3(u) 3(asz) 3(barig) gur| its barley: 33 gur 3 barig, 
inim du11-ga na-ab-ta-bala-e| One should not transgress (my) spoken word 
iti {d}li9-si4| Month: "Lisi."
kur-kur-ra mu-na-diri-ga-a| he had made surpass all the mountains for her, 
1(disz) sila3 i3-gesz du10-ga| 1 sila3 good sesame oil, 
7(disz) udu 1(disz) masz2| 7 rams, 1 billy goat, 
ia3-a-ma-di3-um-da| and the Iam'adiumites
iti a2-ki-ti| month: “Akiti,”  
al-bur2-e| shall be released.
iti sig4 u4 8(disz) ba-zal| Month: “Bricks,” 8 days passed; 
szu na-ni-ba-re| and may it not be released. 
ARAD2-du10| ARADdu:
ku-li| xxx 
ka2 mah ka2 gal ka2 silim-ma hur-sag-galam-ma ka2 sze nu-ku5-da| The Lofty Gate, the Great Gate, the Gate of Peace, the Ḫursag-galama and the Gate of Perpetual Grain Supplies, 
en zi sza3 hi-li pa3-da-zu e2-kisz-nu-gal2-la| Your true en priestess, chosen in the heart (for her) beauty, the one of the Ekišnugal temple 
ZI&ZI.LAGAB| kind of rush 
gesztu2-bi {d}en-ki-ke4 ba-an-de6| Enki took away its wisdom. 
3(disz) sila3 kasz 2(disz) sila3 ninda-ta| 3 sila3 beer, 2 sila3 bread each; 
munus zi nin uru2{ki}-ni-sze3 kusz2-u3-de3| The good woman, to disquiet the lord concerning his city, 
x dab-ba| xxx 
{uruda}mitum-gu10-u3 kurinx(DUG){in} nam-lu2-ulu3 a-gin7 he2-em-bala-e| “May my battle-axe cross over the blood of the people like water. 
{d}nin-hur-sag-ka-sze3| to Ninhursag's - 
mu bad3 mar-tu ba-du3| xxx 
{d}nansze| (For the goddess) Nanše, 
mu {d}szu-{d}suen lugal-e bad3 mar-tu mu-du3| year: “Šū-Suen West Wall built.” 
ki-ru-gu2 6(disz)-kam-ma-am3| 6th kirugu 
gur7-ra dub-bu| who piles up (grain) into grain heaps, 
ki-bala-bi mu-un-se3 {d}ur-{d}namma maszkim im-me| The rebellious land is overthrown, Ur-Namma acts (?) as the constable. 
ki lugal-nam-tar-re-ta| from Lugal-namtare 
sa2 mu-se3 sig4-ga gu bi2-dub2| he gave a blessing, he stroked the brick with flax. 
{d}en-lil2-ke4| of Enlil, 
{d}isz-bi-er3-ra| 'Išbi-Erra 
mu {d}szu-{d}suen lugal uri5{ki}-ma-ke4 e2 {d}szara2 umma{ki}-ka mu-du3| xxx 
{d}{asz}asz7-gi4 adab{ki}-ke4| Ašgi, the god of Adab 
1(u) 2(disz) kusz3| 12 cubits; 
eh tag-ga| infected by lice 
{uruda}gur10{gur}-ra-bi| whose copper sickles(?)
{disz}ar-bi-tu-ra-am| Arbi-turam 
mu-du3-a| built,  
e2 ne-ha bi2-in-tusz-a| were made to dwell in peaceful houses, 
dub sag-nig2-gur11-ra| xxx 
ki-su7 a-sza3 {d}nin-ur4-ra-ta| from the threshing floor of the field Nin-ura; 
nam-mah-ni| Nammahani, 
im-si| A northern storm(?) has filled its cities and playgrounds(?) 
6(asz) udu-nita| 6 rams, 
ki-gar n kusz3 mu-na-ba-al| an area of [n] cubits (deep) I dug out, 
iti {d}li9-si4| month “Lisi,” 
ninda u4-sa2-ka 1(asz)-am6| one loaf is his bread at midday, 
dumu AN&AN-sze-me-a| son of Ilān-šemeā, 
me-na-am3 gesz-nu2 gi-rin ba-ni-nu2-de3-en bi2-in-du11| “When this will be a luxuriant bed on which I can lie down?” she said; 
sahar-bi 3(u) sar| its soil: 30 (volume-)sar; 
{d}inanna a-na bi2-in-ak ge26-e mu-un-kusz2-u| What has Inanna done? She has me worried. 
dub-sar| the scribe, 
me-girimx(A.BU.HA.DU)-ta| Megirimta, 
inim sa6-sa6-ge-da-ga2| as I was making beautiful words, 
2(disz) sila3 i3 2(disz) sila3 zu2-lum| 2 sila3 oil, 2 sila3 dates, 
2(u) la2 1(asz) ugula gu-za-la2| 20 less 1, foreman of throne bearers; 
szim zi i3-du10-nun-ka mu10 ba-ni-ib2-e-ne| They cared for it with good resin and fine butter oil. 
szunigin sze-bi 8(gesz2) 4(u) 9(asz) 2(ban2) gur| total, its barley: 529 gur 2 ban2; 
kur tuk4-tuk4-e| make the foreign land tremble,
nig2-al-di| to be demanded 
numun-a-ni he2-eb2-de5-de5| and his seed be plucked up. 
lugal-e pa-mul-pa-mul zu| The king, who knows (?) the spreading branches, 
hu-bi2-dam dam-gar3| against Ḫubidam, the trade agent, 
1(u) 4(disz) 1/3(disz) gin2 e2 du3-a| 14 1/3 shekel-measures of built house, 
nim ku4-ra-am3 ka-zu ba-HUB2-am3| The fly is the one that enters, your mouth is the one that strikes/jumps? 
nita kal-ga| the strong man, 
{na4}nu11-gal-e| this alabaster 
e4-du11-ga ama5-na musz3 mi-ni-in-ga-am3 amasz-a-ni lil2-la2| She has ceased the Eduga(!?), her chamber, her sheepfold is an empty wind 
nita2 kal-ga| the strong man,
ug3-bi szika ku5-da nu-me-a bar-ba ba-e-si| Its people littered its outskirts just as if they might have been broken potsherds. 
a-sza3 zalag-ga-a-gesztin| field Zalga-ageštin; 
2(disz) masz2 szu-gid2 e2 muhaldim-sze3| 2 goats (as) provisions for the kitchen; 
iti sig4-a-ka| The month of Simāmum,
2(disz) szah2-gesz-gi mu 3(disz)| 2 reed-bed pigs, (in their) 3rd year, 
igi ha-ab-lum| before Ḫablum;
2(disz) udu| (total:) 2 sheep. 
lu2 nig2-dab5-ke4-ne| of the requisitioners 
szu-bi gu2-bi-sze3 ba-szi-ib-de5-de5 er2 mu-un-szesz2-szesz2-ne| They gathered/clasped their hands to their necks(?), they were weeping 
4(u) 4(disz) udu| 44 ‘sheep’ 
ug3-e kur-kur-ra u2-sal-la mi-ni-in-nu2-a| who made the people of all the lands lie (contentedly) in riverine meadows,
uru18-a{ki}-ta mu-na-ta-e11| had it (this plaque) brought down from Uru’a, 
iti 3(disz) u4 1(u) 5(disz)-kam| xxx 
{gesz}za-ra gan2-ur3(GAN2)| a pivot of a harrow; 
ninda te nu-mu-gal2| bread cooling down [had none]. 
lugal-gu10 he2-en-zu| My king should know of this! 
ziz2-bi 9(asz) 2(barig) gur| its emmer: 9 gur 2 barig; 
a-ru-a ti-ni-abzu-ta| donated (by) Tini-abzuta; 
iri ku3-ga| in the Holy City, 
zi-ga nigin-ba| xxx 
5/6(disz) sila3 1(u) 6(disz) gin2 {u2}gamun2 gazx(KUM)| 5/6 (?) sila3 16 shekels crushed cumins, 
nam-szita sa6-ga gu3-de2-a-a-da| with friendly prayers on behalf of Gudea
sza3 min bar min lu2 igi bala| (Possessor) of “two insides and two outsides” (duplicitous, hypocritical?), “eye turner” 
igi-nu-du8| a blind worker 
mu si-ma-num2{ki} ba-hul| year: “Simanum was destroyed;” 
u4 sza3 hul2-la bala nam-he2-a| and may days of happiness, a reign of abundance, 
gesztu2 szum2-ma {d}en-ki-ka| given wisdom by Enki
kiszib3 {d}szara2-kam| xxx 
ARAD2-da-ne2| his servant,
lugal-ra| for the king 
iri numun nam-en nam-lugal-la ki sikil-la du3-a| The city where the seed of the en-ship and kingship is planted in a pure place 
tug2 ba-szix(SIG5)-nisi-ge| textile (for) Baši-nisige, 
u4-szu2-usz uru17{ki}-ta tu15 hul-e mu-un-da-an-gi4-gi4| Daily an evil wind returns among the city 
szunigin 3(disz) ug3-IL2 u4 3(u)-sze3| total: 3 porters for 30 days;
2(asz) 2(barig) 3(ban2) sze gur| 2 gur 2 barig 3 ban2 barley, 
gesz nig2-tuku-bi suhur-ba mi-ni-in-bala-bala| their trees of wealth he “crossed over” at the crown. 
3(disz) nin-disz-gal-da| 3 (mana wool for) Nin-dišgalda (?) 
en sag husz u4 gal-la u5-a gaba-szu-gar nu-tuku| fierce chief lord, riding on a great storm that is unrivaled, 
ama lagasz{ki}| the mother of Lagash, 
nig2 sag3-ga gesz-dal-ta ri la2-a szum2-me-eb in-na-an-ne-esz| They were saying to her “give us the beaten meat hanging from the beam” 
mu-un-du3-a| he had waged 
ti nig2 du10 mu he2-gal2-la-ka| a good life, years of plenty,
{gesz}banszur sikil-la ki ag2 {d}suen-na| Suen's beloved pure table; 
1(disz) sila4 niga| 1 lamb, grain-fed, 
gu4-lah5| oxen drivers. 
gu2-ni am3-x-la2| The full bellied donkey stretches its neck(?) towards the house (that has) straw 
alan-bi igi mu-un-bar-bar-re-ne im-ma-hul2-hul2-la| The were looking at the statue/form (of Gilgamesh?) and rejoicing intensely 
GU&GU| chain? 
dumu lugal-sza3 iszib| der Sohn des Lugal-ša, des „Reinigungs“-Priesters, 
1(szarkid){kid} 1(szar'ugal){gal} 2(szargal){gal} GAN2| 1.12.00.00 (259,200) bur3 field; 
bad3 am-mi-di-ta-na{ki}-a %a bad3 am-mi-di-ta-na{ki}| Fort Ammi-ditana
gu2 i7-nun-na-{d}nanna-ka a2 dugud ba-szi-in-de6| Mighty strength was set against the banks of the Id-nuna-Nanna canal. 
me-bi szu bi2-du7| had met with all cultic necessities.
ur-sag gal kal {d}a-nun-na-e-ne me-ni dingir na-me sag nu-ga2-ga2| Great and mighty(?) hero, (from the) of the Anuna gods, no god can advance against his cosmic powers 
dumu ur-nigar{gar} szusz3| son of Ur-nigar, chief cattle manager,
zabar-dab5 maszkim| zabardab was enforcer; 
im-ma-na-us2| moored it for him. 
DINGIR-szu-i-bi-szu| Ilšu-ibbīšu, 
iti sze-sag-ku5| Month “Harvest.” 
nun ni2 tuku nibru{ki}| prince who reveres Nippur, 
ka-ta nu-szub-bu-de3| should not fall from the lips,
he2-bi2-in-du11| She orders/effects(?) by means of her unchanging command 
zu2-lum mu-kux(DU)| xxx 
i-me-a| Ime’a,
{na4}esi-am3| is diorite,
{d}en-lil2-le nam-lugal ki-en-gi-ra| Enlil, the kingship of Sumer
a-sza3 i7-sal4-la| field of Salla-canal, 
u2-a zi| faithful provider
gi-gun4-na-bi ki-bi gi4-gi4-bi u4-gin7 kar2-kar2-bi| to restore its ziggurat temple, to make it shine like the day, 
u4 4(u) 5(disz)-sze3 a2-bi 2(disz) gin2-ta| for 45 days, the labor: 2 shekels (silver per worker-year) each,
{d}szul-sza3-ga-na-ra| For Šulšagana 
suhusz-a-ni he2-bu3-re-ne| may they rip out his foundations 
lu2-sa6-ga| Lusaga, 
1(asz) sag-kesz2 esztub{ku6}| 1 head-bundle NUN fish, 
{d}nin-kar2| For Ninkar, 
an-ra du11-mu-na-ab an-ne2 ha-ma-duh-e| Speak to An, so that he undoes it for me 
sze-bi 5(u) 5(asz) 2(barig) 3(ban2) gur| its barley: 55 gur 2 barig 3 ban2; 
mu ma2 dara3-abzu-{d}en-ki ba-du8| year: “The boat ‘ibex of absu-Enki’ was caulked.” 
a-mun4 a-ne ba-la2-la2| the brackish water he is holding back. 
szunigin 2(ban2) 4(disz) sila3 kasz szunigin 1(ban2) 5(disz) sila3 ninda| total: 2 ban2 4 sila3 beer; total: 1 ban2 5 sila3 bread; 
1(ban2) 5(disz) 1(disz) 1/2(disz) {d}utu-ba-e3 dumu-ni| 15 litres (of barley) 1 1/2(disz) units (for) Utu-bae, his son.
szu-a-tu ina li-me {disz}asz-szur-pab-a ak-szud nig2-szu-nu szal-la-szu-nu| Those I conquered in the eponymy of Assurnasirpal. Their property, booty, 
szab-ba-bi-a ki-sikil lil2-la2-ke4 e2 im-ma-ni-in-us2| In its trunk, the phantom maid built herself a dwelling, 
na-gada-bi| and their herdsmen 
ur-ba-gara2| Ur-Bagara; 
1(ban2) 5(disz) dumu ur-{d}nam2-an-na| 1 ban2 5 (sila3): the son of Ur-nam-anna, 
nig2-ka9-ak libir| xxx 
6(disz) dusu2-nita2| 6 male equids, 
{d}en-lil2-la2| of Enlil,
a2 {tu15}sa12-di3-um{ki}-ma-bi| its eastern side. 
{d}a-nun-na di-ku5 imin-bi di mu-na-ku5-de3| The seven judges of the Anuna were judging her 
en-me-zi-an-na| (whose second name is) Enmeziana, 
{d}en-ki {d}nin-mah-bi| and Enki and Ninmah,
5(disz) sila3 kasz saga| 5 sila3 fine beer,
gi-gun4-bi ab-zu-gin7 ki sikil-e bi2-mu2| Its Gigun grows in a pure place like the Abzu, 
e2 ha-an-ba-tum| the house of Ḫanbatum,
danna asz-gin7 szu ni10-ni10-x sza3-gu10 ha-ma-ab-du11| My heart therefore spoke to me in order to make a round trip as if (it was only) one double-hour 
1(barig) 4(disz) lu2-uszur| 60 litres (of barley) 4 units (for) Lur-uszur
mu a-tu dumu la-la-sze3| in place of Atu, son (of) Lala,
mu en-mah-gal-an-na ba-hun| year: “Enmaḫgalana was installed” [AS 4]. 
uru18{ki}| and Uru 
giri3 nu-ur2-{d}suen dub-sar| via Nur-Suen, scribe; 
sza3 a-nir-ta a-nir ba-da| hat anguish be cut off the anguishing heart;
mu sa6-ga-mu| That my good name 
1(barig) 4(disz) ur-bara2-si-ga| 60 litres (of barley) 4 units (for) Ur-barasiga
en-te-en a he2-gal2-la kar-ra gin6-ne2-de3| In order that Winter establishes water in the quay in abundance 
u3-mu-un i3-nu2 ku3 {d}inanna{na}-sze3| when the lord who lies down beside silver Inanna, 
in-hun-e-mesz| they will hire
3(disz) dug dida du| 5 jugs of common dida-beer, 
na-ma-su lu2 a2-tuku nu-mu-na-gar| and a widow I did not let be put under the control of a powerful person. 
mu aga3-us2-e-ne-sze3| because of the soldiers, 
me {d}nin-gir2-su-ka| and who the divine power of Ningirsu 
mu-sar-ra-a-ba| or its inscription 
{d}lamma| To the protective deity 
lu2-{d}szara2| Lu-Šara 
nam-lugal ki-szar2-ra mu-un-ak-a| who exercised kingship over the whole earth—
me3-ba| in that battle,  
um-ma e2-ta bar-ra-e3| The old woman left the house, 
u4-da {na4}u2 ub-tag {na4}gug buru3-da ur5 he2-en-na-nam-ma| Today (and henceforth), when emery touches (another stone), it will be in order to perforate carnelian, thus it is so! 
lu2 umma{ki}-ke4| by the ruler of Umma 
u4 {d}nin-gir2-su| when for Ningirsu, 
dumu lugal-a-ge6| the son of Lugalage, 
umma{ki}-a szeg12-kur-sza3-ba-sze3 ga-am3-szi-re7-de3-en| We shall go to Umma and the Ešegkuršaga temple 
{d}nin-gesztin-na a-sza3 ku3-sig17{ki}-sze3| to Ningeštin's Golden Field; 
1(disz) 5(u)| 1,50 
zimbir{ki} en-me-en-dur2-an-na| In Sippar, En-men-dur-ana 
3(gesz'u) sa2| 30.00 (1,800) (ninda) squared: 
{d}nin-hur-sag-ke4| Ninḫursag 
me-bi ma-ab-du7-du7| He will perfect its divine attributes for me.
dumu-ni| his son(?)
kiszib3 {d}szara2-a-mu-tum2| under seal of Šara-amutum, 
2(asz) 1/2(asz) ku3 gin2| 2 1/2 shekels silver, 
igi lu2-dingir-ra dumu lugal-ba-ra-ab-e3-sze3| Before Lu-dingira, son of Lugal-barabe;  
nu-banda3 {gesz}gigir2-ra-me he2-me-en| May you be our captain of the chariot 
mu-na-an-szum2-ma-a| having given (the requests) to him —
a2-bi u4 9(disz) 1/2(disz)| its labor: 91/2 days 
i5-gar| An (oracular) utterance 
uri5{ki}-ma-ke4| xxx 
uri5{ki}-ma| in Ur, 
ib2-ba nu-te-en-te-en dumu| (But your) anger does not cool, eldest child of Nanna 
igi duh {d}en-lil2-la2| The one seen by Enlil 
gu3 nimgir sa6-ga| beautiful voice of the herald. 
pu3-su-nu-um ugula-gesz2-da-ka-ni| Pussunum, his officer-of-sixty, 
musz-sag-kal-gin7 gu3 nun am3-me-e| like a strong-head snake he roars. 
u4 1(u) 8(disz)-kam| 18th day, 
ga2 udu ur4| and her sheep-plucking shed 
usz2 1(barig) ur-dub-szen| Dead: 60 litres (of barley for) Ur-dubszen
buru14 ama-bi gi4-gi4| the harvest will remit this debt; 
ga2-nu| Come, Inanna, enter! 
tukumx(SZU.TUR)-bi| If 
aga3-us2-gal-gal lugal| greatest-soldier of the king. 
e2-an-na-tum2-e| By Eannatum 
ensi2 lagasz{ki}-ke4| governor of Lagash, 
e2 {d}nin-gir2-su-ka du3-de3| in order to build the house of Ningirsu, 
gu3 nam-mi-de2| he proclaimed. 
e2-usz-bar tusz-a| at the weaving-mill, 
a-ga-de3{ki} hul-a {d}inanna za3-mi2| For the destruction of Agade, Inanna be praised! 
mu bad3 ma-da ba-du3| year: “The wall of the land was erected.”
e2-szu-se3-ga-bi mu-dagal| he expanded the Ešusega house,
e2 gi-sig-ga| Fire cannot be extinguished in a house with a reed fence 
u3 nam-nar-a gu2-gu10 ha-ba-szum2| And therefore I am devoted to the art of the musician 
ge6 babbar-bi zi-da gab2-bu u3-me-ni-kesz2| When their black and white (wool), on the right and left tied for us,
bala-bala an-da-za| a conversation held: 
e2-mar-uru5-sze3| and into a quiver 
1/3(disz) ma-na gi| 1/3 mana of reeds, 
kiszib3 asz-a ab-ba-gi-na| under the individual seal of Abbagina. 
e2 {d}nin-gir2-su-ka du3-a| The building of the house of Ningirsu, 
{d}utu| Utu, 
giri3 bi2-bi2-a sukkal| via Bibbiya, the messenger, 
sa-gaz KASKAL-x sag mu-ra-an-zi-zi| (It symbolizes) a robber raising his head for you in/from an ambush 
e2-ninnu sig4 ki-en-gi-ra2-ka hi-li mu-ni-ib2-du8-du8| Eninnu, brickwork of Kiengir, carries joy, 
en-sze3 la-ba-szi-gur-ru musz3-am3-bi nu-um-me| How long will he not turn to it, not say “Alas!” for it? 
sza3 uri5{ki}-ma| in Ur 
e2-babbar2| of the Ebabbar (temple).
e2-a-ni| his house 
an-ta he2-gi4| send him out in front(?). 
masz2-e i3-pa3| xxx 
szul me6-kam| He is the youth of battle. 
pa5 saman3| The Saman Canal 
{d}lugal-me3-x| To Lugal-me3-x, 
mu a-sza3 nu-dab5-ba-sze3| in place of the not seized field;
bi2-in-du3-a| had built
{d}nin-urta| Ninurta,
tur3-a-na amasz-a-na nu-nuz-e gu3 gig-ga mu-ni-ib2-be2 iri u4-de3 am3-gul-e| In her cattlepen, in her sheepfold, the woman shouts bitterly, the storm is destoying the city 
1(u) 1(disz) gin2 ku3-babbar| 11 shekels of silver,
ib2-szi-ag2-ge26-a| shall issue against it,
u4 1(u)-sze3 me-en-kar2-ta nibru{ki}-sze3 ma2 gid2-da ma2 ba-al-la guru7-a im ur3-ra u3 ma2 gur-ra| for 10 days from Me’enkar to Nippur barge punted, barge unloaded, silos with clay sealed, and barge returned; 
ga-na ga-na-ab-du11 ga-na ga-na-ab-du11| “Let me, let me tell it to her, let me, let me tell it to her, 
pirig banda3{+da}-gin7 guru5-usz hu-mu-bur2-bur2| Like a fierce pirig creature (I) therefore snarled(?) 
1(disz) u8| 1 ewe,
igi ha-mu-da-du8| may it behold under me. 
lu2 e2-babbar| the man who the Ebabbar, 
lugal-ha-ma-ti ka-us2-sa2| for Lugal-hamati, the ka’usa; 
hur-sag 6(disz)-kam bi-ri-bala| He traversed(!?) the 6th mountain range 
igi {d}inanna-ma-an-szum2 dumu im-gu-ru-um| Before Inanna-manšum, son of Imgurum;
bur-sag {d}nin-gir2-su| xxx 
ba-zi| booked out.
{d}nin-gal| To the goddess Ningal, 
lugal ki-en-gi ki-uri| king of Sumer and Akkad, 
a-sza3-ge kin ak| fieldwork; 
ig {gesz}erin e2-a szu4-ga-bi| The cedar doors standing in the house, 
dam dumu-na-sze3| of his wife and child (or children), 
mu-ni| and his own name
{gesz}ig {gesz}erin| a cedar door; 
gaba-szu-gar| no rival 
{gesz}al zu2 limmu5| hoe with a four-pronged blad 
asz-te-zu tusz-a hu-mu-ra-ab-be2| May your throne say to you “Sit down.” 
lugal kal-ga lugal uri2{ki}-ma| the strong king, king of Ur 
zi-zu he2-eb-u4-du10| She(?) shall make the days of your life good(!?) 
a-mu lu2-ra musz mu-ra gir2 mu-ra ur mu2-da mu-ra| “My father, a man a snake struck, a scorpion struck, a rabid dog struck,
mu en-mah-gal-an-na ba-hun| xxx 
e-ne gesz ur2-ba {gesz}ellag-a-ni-sze3 ba-ab-ti| He(!?) took(?) the base of the tree for his ball/How the base of the tree was taken for his ball!(?) 
nam-i3-du8 ka2 a2-mi2-a e2-kur-igi-gal2 mu-a u4 1(u) 1(disz) igi-4(disz)-gal2-bi| the office of doorkeeper of the household in E-kurigigal for 11 days a year, its 4th; 
i-lu ma si-ga tur-tur-bi ni2-te-na mi-ni-ib-be2| herself utters softly a lamentation for the silent house: 
lugal eridu{ki}-sze3 nu-kusz2| The king never tires on behalf of Eridu” 
i7-da na-ba-al-e gissu{+su} lu2 MU ba-an-tum3-mu| One should not cross(?) a canal, the shadow/protection of a man will be taken away(?) 
a-a-zu an lugal dingir-re-e-ne-ke4 sza3-zu he2-eb-du10-ge| May your father An, the king of the gods, satisfy your heart. 
dalla e2-nun-na| bright(?) one of the Enun (or: agrun-cella) 
1(gesz2)| (Total) 60 (lines) 
u4-bi-ta %a in u4-mi-szu| At that time,
gu2 i7 buranun-na ku3-ga-ka du3-a-ba| growing on the bank of the pure Euphrates, 
u3 GAN2 uru4-a nigin-ba-bi| and fields in plow, their grand totals 
en-{d}en-lil2-le-su mu 1(gesz'u) i3-ak| En-Enlile-su: he acted for 600 years. 
1(disz) {gesz}giri3-gub {gesz}asal2| 1 foot-stool of poplar, 
dumu nin-zi-sza3-gal2| son of Nin-ziszagal
u4-kur2-sze3 lu2-e2-szu-me-sza4-ke4| In the future, that Lu-ešumeša
mu-ne-du3| he built for them. 
gu mu-ba-ra me szu im-du7-du7| He threw the flax, he perfected the me. 
kiszib3 dabx(U8)-ba a2 erin2-na-ka| sealed documents of dab, labor of the (labor-)troops, 
1(u) 7(disz) gurusz 3(disz) gurusz tu-ra ugula lugal-mu-ma-ag2| 17 laborers, 3 laborers, sick, foreman: Lugal-mumag; 
gesz-gid2-da {kusz}lu-ub2 dag-si ak-a i-mi-tum pirig an-na| A spear, a leather bag for a saddle-hook, a heavenly lion-headed imitum mace, 
masz-bi 2(disz) 1/2(disz) gin2 ku3-babbar| its interest: 2 1/2 shekels of silver 
ninda te nu-mu-gal2| bread cooling down has none. 
x szabra 6(disz)-ba| x household managers, of the 6. 
ka5-a| fox 
1(disz) masz2-gal a-dara4 niga {d}en-lil2| 1 hybrid buck, barley-fed, for Enlil; 
{d}suen-e-ri-ba-am| Sîn-erībam,
1(barig) ga-UD| 1 barig kašk cheese, 
1(disz) geme2-{d}lamma| (and) 1 (for) Geme-Lamma, 
u3 nam-ti-mu-usz| and my own life 
eridu{ki} a gal-la diri-ga a nag-e ba-am3-u-gun3| Eridug, floating on great waters, was deprived (?) of drinking water. 
szesz-ama(LAK769)-na| Šeš-ama-na
1(disz) {gesz}ig ze2-na u3 {gesz}kun5| (with) one door (made of) palm frond and (one) ladder,
u4 7(disz)-sze3 e2-duru5 szesz du3-a-ta kun-zi-da i7 {d}amar-{d}suen-ni-tum-sze3| for 7 workdays from Uriru-village to reservoir of Amar-Suenītum canal 
u3-tu-da| new-borns; 
giri3 a-lu5-lu5| via Alulu; 
mu en-unu6-gal {d}inanna ba-hun| year: “Enunugal of Inanna was hired.” 
1(disz) szesz-kal-la dumu du-du| 1 Šeškalla, son of Dudu, 
e2-ninnu e2 nam-lugal-mu| ‘Eninnu, my royal house’, 
{gesz}ig-bi mul-an-na x-bi du11-ga-ba| its doors adorned with the heavenly stars, 
an-ta| I will cut you from above like a rope(?) 
mu-du3-a| was built-
kiszib3 a-gu-gu| under seal of Agugu; 
5(disz) gurusz u4 2(disz)-sze3| 5 male laborers for 2 days, 
ki ur-{d}lamma dumu ur-nig2-ta| from Ur-Lamma, son of Ur-nig;
2(u) 7(disz) geme2 u4 7(disz)-sze3 bala-sze3 gen-na| 27 female laborers in 7 days went to the bala (service), 
szu ib2-ta-ab-ur3-a| shall erase from it, 
